,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,
PLANILLA DE MOLDES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN NP,,,,,,,MOLDE,,,,,,CARTULINA,,,,TROQUELADO,,,,COMENTARIOS,PLANILLA,
INGRESO LAYOUT,NOMBRE DEL OPERADOR ,NP,CLIENTE ,RUBRO ,SOLICITUD ,FECHA DE ENTREGA ,FORMATO ,TIRAJE ,STATUS ,NP ANTIGUA ,NP ORIGEN ,CODIGO DE MOLDE ,SUSTRATO ,GRAMAJE ,EMPLACADO ,LAMINADO ,TROQUELADO ,PINZA ,SEPARACION ,EXTRAS ,,LAYOUT,MOLDE 
20/05/20,________,13813,PESQUERA ,,_____________,29/05/20,1280 X910,43.800,MOLDE CON CAMBIOS,12633,________,,CARTA DEDICA ,230 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,mover piza a kba ya que la anterior tenia 13mm y se optimizo cartulina ,OK,OK
20/05/20,________,13815,SYNTHON ,,_____________,26/05/20,770X380 ,2.800,MOLDE NUEVO,________,________,,CM REAL RB ,295 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
22/05/20,________,13799,VIÑA LA ROSA ,,_____________,15/06/20,900X530 ,5.800,MOLDE CON CAMBIOS,13524,________,,VALDIVIA RC,295 GRS,CORRUGADO ONDA B,________,TROQUELADO ,17 MM,_____________,________,SE CAMBIA A KBA ANTERIOR ESTABA PARA XL ,OK,OK
22/05/20,________,13801,FRUSELVA ,,_____________,03/06/20,1300 X800,________,MOLDE CON CAMBIOS,13633,________,,CARTA DEDICA ,345 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
22/05/20,________,13806,VIÑA LA ROSA ,,_____________,15/06/20,900X530 ,3.800,MOLDE NUEVO,________,________,,VALDIVIA RC,295 GRS,CORRUGADO ONDA B,________,TROQUELADO ,_____,_____________,________,,OK,OK
22/05/20,________,13808,PETRIZZIO ,,_____________,10/06/20,840X570/840X560,61.800,HAY MOLDE,13233,________,,PRO FBB BRIGHT (CARTA SOLIDA) RB,320 GRS,________________________,PET,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,FOLIA Y RELIEVE,,OK,OK
25/05/20,________,13817,DOLE ,,_____________,08/06/20,880X600,17.500,MOLDE NUEVO,________,________,,KOTKA AEGLO PRO (CG2) ,260 GRS,________________________,________,TROQUELADO ,17 MM,_____________,________,Se cambia pinza a kba a peticion de julio mella ,OK,OK
26/05/20,________,13819,FRUSELVA ,,_____________,19/06/20,1300 X980,44.100,HAY MOLDE,13438,________,,VALDIVIA RC,190 GRS,MICRO CORRUGADO ONDA E,________,TROQUELADO ,_____,_____________,________,,OK,OK
27/05/20,________,13820,FRUSELVA ,,_____________,10/06/20,1150X1020,19.200,MOLDE CON CAMBIOS,________,________,,VALDIVIA RC ,295 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
27/05/20,________,13821,FRUSELVA ,,_____________,10/06/20,1300 X780,43.900,MOLDE NUEVO,________,13821,,CARTA DEDICA ,345 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
